epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.943147,1.95982,3.31568,1.56605,0.01333,0.70588,0.01886,0.01076,1.65731,3.19717,1.2313,0,0,0
2,1.96838,1.32936,3.13615,1.27422,0.01333,0.70588,0.02227,0.01291,1.61252,3.17183,1.20581,1.9802e-05,1.9802e-05,1.9802e-05
3,2.99221,1.78829,3.48174,1.36567,0.01333,0.70588,0.02305,0.01416,1.5662,3.13677,1.17473,3.9208e-05,3.9208e-05,3.9208e-05
4,3.98089,1.27545,3.25906,1.09379,0.01333,0.70588,0.02617,0.0169,1.43017,3.11189,1.11513,5.8218e-05,5.8218e-05,5.8218e-05
5,5.00181,1.51652,3.52273,1.24407,0.01444,0.76471,0.03195,0.02255,1.28214,3.08772,1.07221,7.6832e-05,7.6832e-05,7.6832e-05
6,6.01803,1.38266,3.17135,1.21997,0.01778,0.94118,0.06215,0.03602,1.08406,3.04598,1.01575,9.505e-05,9.505e-05,9.505e-05
7,7.05458,1.15269,2.81289,1.04949,0.01889,1,0.06494,0.04603,0.97706,3.02749,0.97797,0.000112872,0.000112872,0.000112872
8,8.03227,1.41425,3.00976,1.19062,0.01889,1,0.063,0.03857,0.85865,3.0367,0.94918,0.000130298,0.000130298,0.000130298
9,9.07885,1.29283,2.96003,1.00729,0.01889,1,0.08031,0.05021,0.83084,3.02376,0.95152,0.000147328,0.000147328,0.000147328
10,10.0566,1.18619,2.59441,1.03782,0.01889,1,0.08323,0.05597,0.86537,3.01609,0.96062,0.000163962,0.000163962,0.000163962
11,11.0611,1.23651,2.93848,0.99474,0.01889,1,0.0957,0.06313,0.90172,2.99808,0.96368,0.0001802,0.0001802,0.0001802
12,12.0774,1.22241,2.61079,0.98384,0.01889,1,0.08409,0.06114,0.921,2.98146,0.95453,0.000196042,0.000196042,0.000196042
13,13.1336,1.34184,2.10471,0.97669,0.01889,1,0.10018,0.07028,1.02454,2.96103,0.96411,0.000211488,0.000211488,0.000211488
14,14.1157,1.10562,1.83999,0.97799,0.01889,1,0.12674,0.08194,1.06276,2.93403,0.96492,0.000226538,0.000226538,0.000226538
15,15.1977,1.1567,1.62286,0.93304,0.01889,1,0.10733,0.06572,1.03274,2.90375,0.96126,0.000241192,0.000241192,0.000241192
16,16.1286,1.10911,1.35892,0.95993,0.01889,1,0.08677,0.05328,0.92145,2.85221,0.93577,0.00025545,0.00025545,0.00025545
17,17.1272,0.86375,1.13881,0.93659,0.01889,1,0.12649,0.07267,0.85128,2.77827,0.93048,0.000269312,0.000269312,0.000269312
18,18.086,1.27921,2.38082,1.17673,0.01889,1,0.12649,0.07267,0.85128,2.77827,0.93048,0.000282778,0.000282778,0.000282778
19,19.0647,1.10684,1.23389,0.93096,0.01889,1,0.64411,0.4537,0.9015,2.66509,0.93152,0.000295848,0.000295848,0.000295848
20,20.0314,0.96382,1.13469,0.95378,0.01889,1,0.64411,0.4537,0.9015,2.66509,0.93152,0.000308522,0.000308522,0.000308522
21,21.022,1.03513,1.15262,0.93578,0.01889,1,0.64731,0.4507,0.89871,2.53831,0.92891,0.0003208,0.0003208,0.0003208
22,21.9663,1.00706,1.24413,0.93707,0.01889,1,0.64731,0.4507,0.89871,2.53831,0.92891,0.000332682,0.000332682,0.000332682
23,22.9091,1.08513,1.28615,0.91096,0.06843,0.76471,0.71181,0.46635,0.91258,2.43152,0.94011,0.000344168,0.000344168,0.000344168
24,23.8952,1.04662,1.12858,0.9162,0.06843,0.76471,0.71181,0.46635,0.91258,2.43152,0.94011,0.000355258,0.000355258,0.000355258
25,24.9007,0.96207,1.13029,0.95201,1,0.49535,0.83533,0.57693,0.86296,2.32219,0.92788,0.000365952,0.000365952,0.000365952
26,25.8409,1.14412,1.20646,1.07302,1,0.49535,0.83533,0.57693,0.86296,2.32219,0.92788,0.00037625,0.00037625,0.00037625
27,26.9062,0.80128,1.1225,0.93513,1,0.32501,0.91821,0.68297,0.78386,2.22797,0.9177,0.000386152,0.000386152,0.000386152
